SYMBOL;Name;LastSale;MarketCap;IPOyear;Sector;industry
TFSC;1347 Capital Corp.;9.83;$58.47M;2014;Finance;Business Services
TFSCR;1347 Capital Corp.;0.164;n/a;2014;Finance;Business Services
TFSCU;1347 Capital Corp.;10.18;$42.55M;2014;Finance;Business Services
TFSCW;1347 Capital Corp.;0.1401;n/a;2014;Finance;Business Services
PIH;1347 Property Insurance Holdings, Inc.;7.45;$46.07M;2014;Finance;Property-Casualty Insurers
FLWS;1-800 FLOWERS.COM, Inc.;7.38;$478.68M;1999;Consumer Services;Other Specialty Stores
FCTY;1st Century Bancshares, Inc;7.74;$79.89M;n/a;Finance;Major Banks
FCCY;1st Constitution Bancorp (NJ);12.42;$93.73M;n/a;Finance;Savings Institutions
SRCE;1st Source Corporation;31.57;$823.41M;n/a;Finance;Major Banks
VNET;21Vianet Group, Inc.;21.24;$1.85B;2011;Technology;Computer Software: Programming, Data Processing
TWOU;2U, Inc.;27.89;$1.27B;2014;Technology;Computer Software: Prepackaged Software
DGLD;3X Inverse Gold ETN Velocityshares;91.69;$12.47M;n/a;Finance;Investment Bankers/Brokers/Service
DSLV;3X Inverse Silver ETN Velocityshares;65.74;$37.27M;n/a;Finance;Investment Bankers/Brokers/Service
UGLD;3X Long Gold ETN Velocityshares;7.61;$7.5M;n/a;Finance;Investment Bankers/Brokers/Service
USLV;3X Long Silver ETN Velocityshares;10.81;$21.21M;n/a;Finance;Investment Bankers/Brokers/Service
JOBS;51job, Inc.;30.74;$1.81B;2004;Technology;Diversified Commercial Services
SIXD;6D Global Technologies, Inc.;2.9;$226.92M;n/a;Consumer Services;Professional Services
CAFD;8point3 Energy Partners LP;15.76;$1.12B;2015;Public Utilities;Electric Utilities: Central
EGHT;8x8 Inc;11.06;$987.5M;n/a;Public Utilities;Telecommunications Equipment
AVHI;A V Homes, Inc.;13.29;$296.95M;n/a;Capital Goods;Homebuilding
SHLM;A. Schulman, Inc.;31.12;$911.69M;1972;Basic Industries;Major Chemicals
AAON;AAON, Inc.;23.1;$1.25B;n/a;Capital Goods;Industrial Machinery/Components
ABAX;ABAXIS, Inc.;53.99;$1.23B;1992;Capital Goods;Industrial Machinery/Components
ABY;Abengoa Yield plc;18.46;$1.85B;2014;Public Utilities;Electric Utilities: Central
ABGB;Abengoa, S.A.;1.55;$285.46M;2013;Consumer Services;Military/Government/Technical
ABEO;Abeona Therapeutics Inc.;3.52;$115.22M;n/a;Health Care;Major Pharmaceuticals
ABEOW;Abeona Therapeutics Inc.;1.4;n/a;n/a;Health Care;Major Pharmaceuticals
ABMD;ABIOMED, Inc.;87.68;$3.72B;n/a;Health Care;Medical/Dental Instruments
AXAS;Abraxas Petroleum Corporation;0.8711;$92.64M;n/a;Energy;Oil & Gas Production
ACTG;Acacia Research Corporation;3.96;$200.92M;n/a;Miscellaneous;Multi-Sector Companies
ACHC;Acadia Healthcare Company, Inc.;62.34;$4.47B;n/a;Health Care;Medical Specialities
ACAD;ACADIA Pharmaceuticals Inc.;34.27;$3.46B;1985;Health Care;Major Pharmaceuticals
ACST;Acasti Pharma, Inc.;2.77;$29.53M;n/a;Health Care;Major Pharmaceuticals
AXDX;Accelerate Diagnostics, Inc.;21.81;$975.76M;n/a;Capital Goods;Biotechnology: Laboratory Analytical Instruments
XLRN;Acceleron Pharma Inc.;47.07;$1.57B;2013;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ANCX;Access National Corporation;20.33;$214.36M;n/a;Finance;Savings Institutions
ARAY;Accuray Incorporated;7.05;$563.08M;2007;Health Care;Medical/Dental Instruments
VXDN;AccuShares Spot CBOE VIX Down Shares;19.3901;$8.24M;n/a;n/a;n/a
VXUP;AccuShares Spot CBOE VIX Up Shares;16.4261;$698109.25;n/a;n/a;n/a
ACRX;AcelRx Pharmaceuticals, Inc.;4.08;$181.34M;2011;Health Care;Major Pharmaceuticals
ACET;Aceto Corporation;27.98;$825.47M;n/a;Health Care;Other Pharmaceuticals
AKAO;Achaogen, Inc.;6.07;$111.42M;2014;Health Care;Major Pharmaceuticals
ACHN;Achillion Pharmaceuticals, Inc.;9.89;$1.35B;2006;Health Care;Major Pharmaceuticals
ACIW;ACI Worldwide, Inc.;22.46;$2.66B;n/a;Technology;Computer Software: Prepackaged Software
ACRS;Aclaris Therapeutics, Inc.;29.28;$590.21M;2015;Health Care;Major Pharmaceuticals
ACNB;ACNB Corporation;21.68;$130.83M;n/a;Finance;Major Banks
ACOR;Acorda Therapeutics, Inc.;42.98;$1.85B;2006;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ACTS;Actions Semiconductor Co., Ltd.;1.74;$101.74M;2005;Technology;Semiconductors
ACPW;Active Power, Inc.;1.33;$30.73M;2000;Public Utilities;Electric Utilities: Central
ATVI;Activision Blizzard, Inc;39.21;$28.67B;n/a;Technology;Computer Software: Prepackaged Software
ACTA;Actua Corporation;10.83;$441.84M;n/a;Technology;EDP Services
ACUR;Acura Pharmaceuticals, Inc.;2.12;$25.02M;n/a;Health Care;Major Pharmaceuticals
ACXM;Acxiom Corporation;20.97;$1.63B;n/a;Technology;EDP Services
ADMS;Adamas Pharmaceuticals, Inc.;16.86;$310.6M;2014;Health Care;Major Pharmaceuticals
ADMP;Adamis Pharmaceuticals Corporation;5.15;$69.17M;n/a;Health Care;Major Pharmaceuticals
ADAP;Adaptimmune Therapeutics plc;10.06;$712.1M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADUS;Addus HomeCare Corporation;23.71;$263.38M;2009;Health Care;Medical/Nursing Services
AEY;ADDvantage Technologies Group, Inc.;1.83;$18.42M;n/a;Consumer Services;Office Equipment/Supplies/Services
IOTS;Adesto Technologies Corporation;7.7;$115.31M;2015;Technology;Semiconductors
ADMA;ADMA Biologics Inc;8.45;$90.53M;n/a;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADBE;Adobe Systems Incorporated;93.82;$46.8B;1986;Technology;Computer Software: Prepackaged Software
ADTN;ADTRAN, Inc.;17.21;$852.93M;1994;Public Utilities;Telecommunications Equipment
ADRO;Aduro Biotech, Inc.;26.98;$1.71B;2015;Health Care;Major Pharmaceuticals
AAAP;Advanced Accelerator Applications S.A.;29.71;$1.17B;2015;Health Care;Major Pharmaceuticals
AEIS;Advanced Energy Industries, Inc.;28.61;$1.17B;1995;Capital Goods;Industrial Machinery/Components
AMD;Advanced Micro Devices, Inc.;2.77;$2.19B;n/a;Technology;Semiconductors
ADXS;Advaxis, Inc.;12.17;$406.06M;n/a;Health Care;Major Pharmaceuticals
ADXSW;Advaxis, Inc.;8.08;n/a;n/a;Health Care;Major Pharmaceuticals
MAUI;AdvisorShares Market Adaptive Unconstrained Income ETF;23.02;$2.3M;n/a;n/a;n/a
YPRO;AdvisorShares YieldPro ETF;23.0694;$32.87M;n/a;n/a;n/a
AEGR;Aegerion Pharmaceuticals, Inc.;10.49;$303.55M;2010;Health Care;Major Pharmaceuticals
AEGN;Aegion Corp;19.11;$692.64M;n/a;Basic Industries;Water Supply
AEHR;Aehr Test Systems;1.95;$25.33M;1997;Capital Goods;Electrical Products
AMTX;Aemetis, Inc;2.2;$43.08M;n/a;Basic Industries;Major Chemicals
AEPI;AEP Industries Inc.;77.93;$397.65M;1986;Capital Goods;Specialty Chemicals
AERI;Aerie Pharmaceuticals, Inc.;23.72;$625.38M;2013;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AVAV;AeroVironment, Inc.;29.64;$691.64M;2007;Capital Goods;Aerospace
AEZS;AEterna Zentaris Inc.;5.18;$51.41M;n/a;Health Care;Major Pharmaceuticals
AEMD;Aethlon Medical, Inc.;7.14;$54.38M;n/a;Capital Goods;Biotechnology: Laboratory Analytical Instruments
AFMD;Affimed N.V.;7.68;$228.36M;2014;Health Care;Major Pharmaceuticals
AFFX;Affymetrix, Inc.;9.74;$778.88M;1996;Capital Goods;Biotechnology: Laboratory Analytical Instruments
AGEN;Agenus Inc.;4.43;$374.98M;2000;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AGRX;Agile Therapeutics, Inc.;7.67;$170.98M;2014;Health Care;Major Pharmaceuticals
AGYS;Agilysys, Inc.;10.29;$236.06M;n/a;Technology;EDP Services
AGIO;Agios Pharmaceuticals, Inc.;61.34;$2.31B;2013;Health Care;Major Pharmaceuticals
AGFS;AgroFresh Solutions, Inc.;5.89;$294.15M;2014;Finance;Business Services
AGFSW;AgroFresh Solutions, Inc.;0.93;n/a;2014;Finance;Business Services
AIMT;Aimmune Therapeutics, Inc.;19.18;$810.34M;2015;Health Care;Major Pharmaceuticals
AIRM;Air Methods Corporation;41.39;$1.63B;n/a;Transportation;Transportation Services
AIRT;Air T, Inc.;23.35;$55.4M;n/a;Transportation;Air Freight/Delivery Services
ATSG;Air Transport Services Group, Inc;10.01;$644.23M;n/a;Transportation;Air Freight/Delivery Services
AMCN;AirMedia Group Inc;5.6;$357.45M;2007;Technology;Advertising
AIXG;Aixtron SE;4.4;$490.94M;n/a;Technology;Industrial Machinery/Components
AKAM;Akamai Technologies, Inc.;52.975;$9.43B;1999;Miscellaneous;Business Services
AKTX;Akari Therapeutics Plc;16.91;$199.15M;n/a;Health Care;Major Pharmaceuticals
AKBA;Akebia Therapeutics, Inc.;12.01;$367.89M;2014;Health Care;Major Pharmaceuticals
AKER;Akers Biosciences Inc;1.2;$6.17M;2014;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX;Akorn, Inc.;36.14;$4.14B;n/a;Health Care;Major Pharmaceuticals
ALRM;Alarm.com Holdings, Inc.;17.76;$809.4M;2015;Technology;Computer Software: Prepackaged Software
ALSK;Alaska Communications Systems Group, Inc.;1.74;$87.72M;1999;Public Utilities;Telecommunications Equipment
AMRI;Albany Molecular Research, Inc.;19.69;$699.03M;1999;Health Care;Biotechnology: Commercial Physical & Biological Resarch
ABDC;Alcentra Capital Corp.;11.87;$160.44M;n/a;n/a;n/a
ADHD;Alcobra Ltd.;5.76;$122.01M;2013;Health Care;Major Pharmaceuticals
ALDR;Alder BioPharmaceuticals, Inc.;34.13;$1.49B;2014;Health Care;Major Pharmaceuticals
ALDX;Aldeyra Therapeutics, Inc.;6.46;$62.74M;2014;Health Care;Major Pharmaceuticals
ALXN;Alexion Pharmaceuticals, Inc.;187.07;$42.15B;1996;Health Care;Major Pharmaceuticals
ALXA;Alexza Pharmaceuticals, Inc.;0.8111;$15.87M;2006;Health Care;Major Pharmaceuticals
ALCO;Alico, Inc.;39.51;$327.72M;n/a;Consumer Non-Durables;Farming/Seeds/Milling
ALGN;Align Technology, Inc.;65.42;$5.2B;2001;Health Care;Industrial Specialties
ALIM;Alimera Sciences, Inc.;2.69;$119.83M;2010;Health Care;Major Pharmaceuticals
ALKS;Alkermes plc;76.3;$11.45B;1991;Health Care;Major Pharmaceuticals
ABTX;Allegiance Bancshares, Inc.;23.9;$306.23M;2015;Finance;Major Banks
ALGT;Allegiant Travel Company;172.22;$2.9B;2006;Transportation;Air Freight/Delivery Services
AFOP;Alliance Fiber Optic Products, Inc.;15.4;$267.72M;2000;Technology;Semiconductors
AIQ;Alliance HealthCare Services, Inc.;9;$96.76M;2001;Health Care;Medical Specialities
AHGP;Alliance Holdings GP, L.P.;19.58;$1.17B;2006;Energy;Coal Mining
ARLP;Alliance Resource Partners, L.P.;13.48;$1B;1999;Energy;Coal Mining
AHPI;Allied Healthcare Products, Inc.;1.09;$8.75M;1992;Health Care;Industrial Specialties
AMOT;Allied Motion Technologies, Inc.;21.44;$199.25M;n/a;Capital Goods;Electrical Products
ALQA;Alliqua BioMedical, Inc.;2.12;$58.66M;n/a;Health Care;Medical/Dental Instruments
ALLT;Allot Communications Ltd.;6.04;$201.5M;2006;Technology;Computer Communications Equipment
MDRX;Allscripts Healthcare Solutions, Inc.;14.94;$2.82B;n/a;Technology;EDP Services
AFAM;Almost Family Inc;40.21;$394.99M;n/a;Health Care;Medical/Nursing Services
ALNY;Alnylam Pharmaceuticals, Inc.;86.52;$7.33B;2004;Health Care;Major Pharmaceuticals
AOSL;Alpha and Omega Semiconductor Limited;9.44;$209.57M;2010;Technology;Semiconductors
GOOG;Alphabet Inc.;750;$515.79B;2004;Technology;Computer Software: Programming, Data Processing
GOOGL;Alphabet Inc.;767.13;$527.57B;n/a;Technology;Computer Software: Programming, Data Processing
SMCP;AlphaMark Actively Managed Small Cap ETF;21.9;$23M;n/a;n/a;n/a
ATEC;Alphatec Holdings, Inc.;0.1977;$19.99M;2006;Health Care;Medical/Dental Instruments
ALTR;Altera Corporation;53.93;$16.33B;1988;Technology;Semiconductors
ASPS;Altisource Portfolio Solutions S.A.;30.93;$596.9M;n/a;Consumer Services;Other Consumer Services
AIMC;Altra Industrial Motion Corp.;24.99;$650.06M;2006;Capital Goods;Industrial Machinery/Components
AMAG;AMAG Pharmaceuticals, Inc.;29.15;$1.01B;n/a;Health Care;Major Pharmaceuticals
AMRN;Amarin Corporation PLC;1.88;$344.96M;n/a;Health Care;Major Pharmaceuticals
AMRK;A-Mark Precious Metals, Inc.;17.972;$125.33M;n/a;Basic Industries;Other Specialty Stores
AYA;Amaya Inc.;13.53;$1.81B;n/a;Technology;Computer Software: Programming, Data Processing
AMZN;Amazon.com, Inc.;663.15;$310.86B;1997;Consumer Services;Catalog/Specialty Distribution
AMBC;Ambac Financial Group, Inc.;14.95;$673.06M;n/a;Finance;Property-Casualty Insurers
AMBCW;Ambac Financial Group, Inc.;6.6;n/a;n/a;Finance;Property-Casualty Insurers
AMBA;Ambarella, Inc.;57.69;$1.85B;2012;Technology;Semiconductors
AMCX;AMC Networks Inc.;76.52;$5.54B;n/a;Consumer Services;Television Services
DOX;Amdocs Limited;56;$8.42B;n/a;Technology;EDP Services
AMDA;Amedica Corporation;0.1099;$16.88M;2014;Health Care;Medical/Dental Instruments
AMED;Amedisys Inc;41.93;$1.41B;n/a;Health Care;Medical/Nursing Services
UHAL;Amerco;394.8;$7.74B;n/a;Consumer Services;Rental/Leasing Companies
ASBI;Ameriana Bancorp;22.51;$68.5M;n/a;Finance;Savings Institutions
ATAX;America First Multifamily Investors, L.P.;5.21;$313.92M;n/a;Finance;Finance: Consumer Services
AMOV;America Movil, S.A.B. de C.V.;14.4929;$48.39B;n/a;Public Utilities;Telecommunications Equipment
AAL;American Airlines Group, Inc.;42.895;$27.04B;n/a;Transportation;Air Freight/Delivery Services
AGNC;American Capital Agency Corp.;17.88;$6.19B;2008;Consumer Services;Real Estate Investment Trusts
AGNCB;American Capital Agency Corp.;23.72;$8.22B;n/a;Consumer Services;Real Estate Investment Trusts
AGNCP;American Capital Agency Corp.;25.63;n/a;n/a;Consumer Services;Real Estate Investment Trusts
MTGE;American Capital Mortgage Investment Corp.;14.8;$740.15M;2011;Consumer Services;Real Estate Investment Trusts
MTGEP;American Capital Mortgage Investment Corp.;24.1858;$48.37M;n/a;Consumer Services;Real Estate Investment Trusts
ACSF;American Capital Senior Floating, Ltd.;9.93;$99.3M;2014;n/a;n/a
ACAS;American Capital, Ltd.;14.05;$3.7B;1997;n/a;n/a
GNOW;American Caresource Holdings Inc;0.58;$4.03M;n/a;Health Care;Hospital/Nursing Management
AETI;American Electric Technologies, Inc.;2.1;$17.33M;n/a;Energy;Industrial Machinery/Components
AMIC;American Independence Corp.;9.7654;$78.98M;n/a;Finance;Accident &Health Insurance
AMNB;American National Bankshares, Inc.;26.03;$224.82M;n/a;Finance;Major Banks
ANAT;American National Insurance Company;101.01;$2.72B;n/a;Finance;Life Insurance
APEI;American Public Education, Inc.;20;$325.33M;2007;Consumer Services;Other Consumer Services
ARII;American Railcar Industries, Inc.;48.97;$971.79M;2006;Capital Goods;Railroads
AMRB;American River Bankshares;10.985;$80.67M;n/a;Finance;Major Banks
ASEI;American Science and Engineering, Inc.;43.44;$311.35M;n/a;Health Care;Medical Electronics
AMSWA;American Software, Inc.;10.57;$303.37M;n/a;Technology;Computer Software: Prepackaged Software
AMSC;American Superconductor Corporation;5.68;$79.53M;1991;Consumer Durables;Metal Fabrications
AMWD;American Woodmark Corporation;82.21;$1.34B;1986;Basic Industries;Forest Products
CRMT;America&#39;;;;;
ABCB;Ameris Bancorp;33.83;$1.09B;1994;Finance;Major Banks
AMSF;AMERISAFE, Inc.;50.66;$967.29M;2005;Finance;Property-Casualty Insurers
ASRV;AmeriServ Financial Inc.;3.29;$62.08M;n/a;Finance;Major Banks
ASRVP;AmeriServ Financial Inc.;26.91;n/a;n/a;Finance;Major Banks
ATLO;Ames National Corporation;24.71;$230.07M;n/a;Finance;Major Banks
AMGN;Amgen Inc.;162.3;$122.43B;1983;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
FOLD;Amicus Therapeutics, Inc.;9.61;$1.2B;2007;Health Care;Major Pharmaceuticals
AMKR;Amkor Technology, Inc.;6.57;$1.56B;1998;Technology;Semiconductors
AMPH;Amphastar Pharmaceuticals, Inc.;14.41;$648.73M;2014;Health Care;Major Pharmaceuticals
AMSG;Amsurg Corp.;76.16;$3.69B;n/a;Health Care;Medical/Nursing Services
AMSGP;Amsurg Corp.;144;$248.4M;n/a;Health Care;Medical/Nursing Services
ASYS;Amtech Systems, Inc.;6.42;$84.43M;n/a;Technology;Industrial Machinery/Components
AFSI;AmTrust Financial Services, Inc.;61.59;$5.11B;n/a;Finance;Property-Casualty Insurers
AMRS;Amyris, Inc.;1.73;$332.46M;2010;Basic Industries;Major Chemicals
ANAC;Anacor Pharmaceuticals, Inc.;104.19;$4.6B;2010;Health Care;Major Pharmaceuticals
ANAD;ANADIGICS, Inc.;0.4685;$41.62M;1995;Technology;Semiconductors
ADI;Analog Devices, Inc.;56.015;$17.48B;n/a;Technology;Semiconductors
ALOG;Analogic Corporation;83.83;$1.04B;1972;Capital Goods;Electrical Products
AVXL;Anavex Life Sciences Corp.;7.5;$225.84M;n/a;Health Care;Biotechnology: Commercial Physical & Biological Resarch
ANCB;Anchor Bancorp;25.1;$62.75M;2011;Finance;Banks
ABCW;Anchor BanCorp Wisconsin Inc.;44.24;$424.64M;2014;Finance;Banks
ANDA;Andina Acquisition Corp. II;9.6;n/a;2015;Finance;Business Services
ANDAR;Andina Acquisition Corp. II;0.3;n/a;2015;Finance;Business Services
ANDAU;Andina Acquisition Corp. II;9.9899;$16.48M;2015;Finance;Business Services
ANDAW;Andina Acquisition Corp. II;0.13;n/a;2015;Finance;Business Services
ANGI;Angie&#39;;;;;
ANGO;AngioDynamics, Inc.;12.24;$444.07M;2004;Health Care;Medical/Dental Instruments
ANIP;ANI Pharmaceuticals, Inc.;45.29;$520.84M;n/a;Health Care;Major Pharmaceuticals
ANIK;Anika Therapeutics Inc.;38.54;$564.14M;n/a;Health Care;Medical/Dental Instruments
ANSS;ANSYS, Inc.;91.85;$8.17B;1996;Technology;Computer Software: Prepackaged Software
ATRS;Antares Pharma, Inc.;1.28;$198.18M;n/a;Health Care;Medical/Dental Instruments
ANTH;Anthera Pharmaceuticals, Inc.;4.63;$184.62M;2010;Health Care;Major Pharmaceuticals
ABAC;Aoxin Tianli Group, Inc.;0.99;$32.85M;n/a;Consumer Non-Durables;Farming/Seeds/Milling
ZLIG;Aperion Biologics, Inc.;n/a;n/a;n/a;n/a;n/a
ATNY;API Technologies Corp.;1.24;$68.73M;n/a;Technology;Semiconductors
APIC;Apigee Corporation;8.43;$248.94M;2015;Technology;Computer Software: Prepackaged Software
APOG;Apogee Enterprises, Inc.;45.18;$1.31B;n/a;Capital Goods;Auto Parts:O.E.M.
APOL;Apollo Education Group, Inc.;7.94;$860.73M;1994;Consumer Services;Other Consumer Services
AINV;Apollo Investment Corporation;5.15;$1.2B;2004;n/a;n/a
AMEH;Apollo Medical Holdings, Inc.;5.25;n/a;n/a;n/a;n/a
APPF;AppFolio, Inc.;15.45;$518.02M;2015;Technology;Computer Software: Prepackaged Software
AAPL;Apple Inc.;107.23;$597.84B;1980;Technology;Computer Manufacturing
ARCI;Appliance Recycling Centers of America, Inc.;1.23;$7.26M;n/a;Consumer Services;Home Furnishings
APDN;Applied DNA Sciences Inc;3.19;$76.76M;n/a;Consumer Services;Other Consumer Services
APDNW;Applied DNA Sciences Inc;1.6759;n/a;n/a;Consumer Services;Other Consumer Services
AGTC;Applied Genetic Technologies Corporation;19.48;$350.71M;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AMAT;Applied Materials, Inc.;18.755;$21.55B;1972;Technology;Semiconductors
AMCC;Applied Micro Circuits Corporation;6.47;$535.95M;1997;Technology;Semiconductors
AAOI;Applied Optoelectronics, Inc.;16.92;$284.85M;2013;Technology;Semiconductors
AREX;Approach Resources Inc.;1.76;$71.23M;2007;Energy;Oil & Gas Production
APRI;Apricus Biosciences, Inc;1.05;$52.94M;n/a;Health Care;Major Pharmaceuticals
APTO;Aptose Biosciences, Inc.;2.7899;$33.61M;n/a;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AQMS;Aqua Metals, Inc.;5.08;$71.72M;2015;Basic Industries;Metal Fabrications
AQXP;Aquinox Pharmaceuticals, Inc.;12.83;$220.83M;2014;Health Care;Major Pharmaceuticals
AUMA;AR Capital Acquisition Corp.;9.74;$292.2M;2014;Finance;Business Services
AUMAU;AR Capital Acquisition Corp.;9.86;n/a;2014;Finance;Business Services
AUMAW;AR Capital Acquisition Corp.;0.12;n/a;2014;Finance;Business Services
ARDM;Aradigm Corporation;4.1899;$61.85M;1996;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
PETX;Aratana Therapeutics, Inc.;6.26;$219.14M;2013;Health Care;Major Pharmaceuticals
ABUS;Arbutus Biopharma Corporation;4.53;$247.2M;n/a;Health Care;Major Pharmaceuticals
ARCW;ARC Group Worldwide, Inc.;1.73;$32.92M;n/a;Capital Goods;Metal Fabrications
ABIO;ARCA biopharma, Inc.;5.06;$45.8M;n/a;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA;Arcadia Biosciences, Inc.;3.35;$147.68M;2015;Basic Industries;Agricultural Chemicals
ARCB;ArcBest Corporation;21.15;$549.1M;n/a;Transportation;Trucking Freight/Courier Services
ACGL;Arch Capital Group Ltd.;70.17;$8.59B;n/a;Finance;Property-Casualty Insurers
APLP;Archrock Partners, L.P.;11.74;$701.07M;n/a;Public Utilities;Natural Gas Distribution
ACAT;Arctic Cat Inc.;16.8;$218.22M;1990;Capital Goods;Industrial Specialties
ARDX;Ardelyx, Inc.;18.73;$486.17M;2014;Health Care;Major Pharmaceuticals
ARNA;Arena Pharmaceuticals, Inc.;1.95;$472.97M;2000;Health Care;Major Pharmaceuticals
ARCC;Ares Capital Corporation;14.2;$4.47B;2004;n/a;n/a
AGII;Argo Group International Holdings, Ltd.;60.67;$1.69B;n/a;Finance;Specialty Insurers
AGIIL;Argo Group International Holdings, Ltd.;25.25;n/a;n/a;Finance;Specialty Insurers
ARGS;Argos Therapeutics, Inc.;2.33;$48.31M;2014;Health Care;Major Pharmaceuticals
ARIS;ARI Network Services, Inc.;4.52;$77.62M;1991;Technology;Computer Software: Programming, Data Processing
ARIA;ARIAD Pharmaceuticals, Inc.;6.25;$1.18B;1994;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ARKR;Ark Restaurants Corp.;22.39;$76.25M;n/a;Consumer Services;Restaurants
ARMH;ARM Holdings plc;45.92;$21.51B;n/a;Technology;Semiconductors
ARTX;Arotech Corporation;2.03;$50.14M;1994;Miscellaneous;Industrial Machinery/Components
ARWA;Arowana Inc.;9.77;$106.09M;2015;Finance;Business Services
ARWAR;Arowana Inc.;0.2;n/a;2015;Finance;Business Services
ARWAU;Arowana Inc.;9.9;n/a;2015;Finance;Business Services
ARWAW;Arowana Inc.;0.091;n/a;2015;Finance;Business Services
ARQL;ArQule, Inc.;2.24;$140.88M;1996;Health Care;Major Pharmaceuticals
ARRY;Array BioPharma Inc.;4.32;$616.11M;2000;Health Care;Major Pharmaceuticals
ARRS;ARRIS Group, Inc.;29.61;$4.34B;n/a;Technology;Radio And Television Broadcasting And Communications Equipment
DWAT;Arrow DWA Tactical ETF;9.83;n/a;n/a;n/a;n/a
AROW;Arrow Financial Corporation;27.61;$356.38M;n/a;Finance;Major Banks
ARWR;Arrowhead Research Corporation;5.99;$356.73M;n/a;Health Care;Biotechnology: Commercial Physical & Biological Resarch
ARTNA;Artesian Resources Corporation;28.08;$252.81M;n/a;Public Utilities;Water Supply
ARTW;Art&#39;;;;;
PUMP;Asante Solutions, Inc.;n/a;n/a;n/a;n/a;n/a
ASBB;ASB Bancorp, Inc.;25.8819;$114.02M;2011;Finance;Savings Institutions
ASNA;Ascena Retail Group, Inc.;10.17;$1.99B;n/a;Consumer Services;Clothing/Shoe/Accessory Stores
ASND;Ascendis Pharma A/S;16.92;$425.17M;2015;Health Care;Major Pharmaceuticals
ASCMA;Ascent Capital Group, Inc.;18.51;$234.25M;n/a;Consumer Services;Other Consumer Services
ASTI;Ascent Solar Technologies, Inc.;0.1505;$14.01M;n/a;Technology;Semiconductors
APWC;Asia Pacific Wire & Cable Corporation Limited;1.52;$21.01M;n/a;Basic Industries;Telecommunications Equipment
ASML;ASML Holding N.V.;90.4;$38.93B;1995;Technology;Industrial Machinery/Components
AZPN;Aspen Technology, Inc.;37.65;$3.14B;1994;Technology;EDP Services
ASMB;Assembly Biosciences, Inc.;7.32;$126.09M;n/a;Health Care;Major Pharmaceuticals
ASFI;Asta Funding, Inc.;7.62;$91.98M;1995;Finance;Finance Companies
ASTE;Astec Industries, Inc.;39.95;$918.34M;1986;Capital Goods;Construction/Ag Equipment/Trucks
ALOT;Astro-Med, Inc.;13.33;$97.85M;1983;Technology;Computer peripheral equipment
ATRO;Astronics Corporation;41.35;$1.11B;n/a;Capital Goods;Military/Government/Technical
ASTC;Astrotech Corporation;1.65;$34.16M;n/a;Capital Goods;Military/Government/Technical
ASUR;Asure Software Inc;4.572;$28.76M;n/a;Technology;EDP Services
ATAI;ATA Inc.;6.01;$137.95M;2008;Consumer Services;Other Consumer Services
ATRA;Atara Biotherapeutics, Inc.;23.63;$676.55M;2014;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ATHN;athenahealth, Inc.;159.79;$6.2B;2007;Miscellaneous;Business Services
ATHX;Athersys, Inc.;1.08;$89.95M;n/a;Health Care;Major Pharmaceuticals
AAPC;Atlantic Alliance Partnership Corp.;10.13;$105.23M;2015;Finance;Business Services
AAME;Atlantic American Corporation;4.72;$96.98M;n/a;Finance;Life Insurance
ACBI;Atlantic Capital Bancshares, Inc.;14.69;$357.54M;n/a;Finance;Major Banks
ACFC;Atlantic Coast Financial Corporation;5.88;$91.19M;n/a;Finance;Savings Institutions
ATNI;Atlantic Tele-Network, Inc.;76.86;$1.23B;n/a;Public Utilities;Telecommunications Equipment
ATLC;Atlanticus Holdings Corporation;3.0101;$46.15M;1995;Finance;Finance: Consumer Services
AAWW;Atlas Air Worldwide Holdings;41.7;$1.03B;n/a;Transportation;Transportation Services
AFH;Atlas Financial Holdings, Inc.;20.04;$240.25M;2013;Finance;Property-Casualty Insurers
TEAM;Atlassian Corporation Plc;30.1;$6.28B;2015;Technology;Computer Software: Prepackaged Software
ATML;Atmel Corporation;8.6;$3.61B;1991;Technology;Semiconductors
ATOS;Atossa Genetics Inc.;0.39;$11.87M;2012;Health Care;Medical/Dental Instruments
ATRC;AtriCure, Inc.;22.28;$717.78M;2005;Health Care;Medical/Dental Instruments
ATRI;ATRION Corporation;390.98;$713M;n/a;Health Care;Medical/Dental Instruments
ATTU;Attunity Ltd.;10.95;$180.36M;n/a;Technology;Computer Software: Prepackaged Software
LIFE;aTyr Pharma, Inc.;10.12;$239.32M;2015;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
